S.No,State,Year_,Causes,Education_status,Means_adopted,Professional_Profile,Social_Status,Gender,Age_group,Number_of_suicides
281,A & N Islands,2002,Death of Dear Person,Matriculate/Secondary,No,House Wife,Divorcee,F,0-14,0
282,A & N Islands,2002,Poverty,No Education,No,Unemployed,Married,F,0-14,0
283,A & N Islands,2002,Dowry Dispute,Middle,No,Student,Never Married,F,0-14,0
284,A & N Islands,2002,Ideological Causes/Hero Worshipping,Primary,No,Others,Married,F,0-14,0
285,A & N Islands,2002,Not having Children,Middle,No,Student,Never Married,F,0-14,0
286,A & N Islands,2002,Failure in Examination,Matriculate/Secondary,By Hanging,Student,Never Married,F,0-14,1
287,A & N Islands,2002,Death of Dear Person,Middle,No,Others,Never Married,M,0-14,0
288,A & N Islands,2002,Cancellation/Non-Settlement of Marriage,Matriculate/Secondary,No,Student,Never Married,M,0-14,0
289,A & N Islands,2002,Divorce,Primary,No,Student,Never Married,M,0-14,0
290,A & N Islands,2002,Cancer,Middle,No,Student,Never Married,M,0-14,0
291,A & N Islands,2002,Unemployment,No Education,No,Student,Never Married,M,0-14,0
292,A & N Islands,2002,Paralysis,Matriculate/Secondary,No,Student,Never Married,M,0-14,0
293,A & N Islands,2002,Other Causes,Primary,No,Student,Never Married,M,0-14,0
294,A & N Islands,2002,Other Prolonged Illness,Middle,No,Student,Never Married,M,0-14,0
295,A & N Islands,2002,Physical Abuse (Rape/Incest Etc.),No Education,No,Others,Married,M,0-14,0
296,A & N Islands,2002,Property Dispute,Matriculate/Secondary,No,Student,Never Married,M,0-14,0
297,A & N Islands,2002,Professional/Career Problem,Middle,No,Student,Never Married,M,0-14,0
298,A & N Islands,2002,Bankruptcy or Sudden change in Economic Status,Primary,No,Others,Never Married,M,0-14,0
299,A & N Islands,2002,Poverty,Matriculate/Secondary,No,Unemployed,Never Married,M,0-14,0
300,A & N Islands,2002,Not having Children,Middle,No,Others,Never Married,M,0-14,0
301,A & N Islands,2002,Failure in Examination,Primary,By Hanging,Student,Never Married,M,0-14,1
302,A & N Islands,2002,Causes Not known,No Education,No,Unemployed,Never Married,M,0-14,0
303,A & N Islands,2002,Illegitimate Pregnancy,Middle,No,Others,Divorcee,M,0-14,0
304,A & N Islands,2002,Drug Abuse/Addiction,Matriculate/Secondary,No,Student,Never Married,M,0-14,0
305,A & N Islands,2002,Suspected/Illicit Relation,Middle,No,Student,Married,M,0-14,0
306,A & N Islands,2002,Love Affairs,Primary,No,Student,Never Married,M,0-14,0
307,A & N Islands,2002,Illness (Aids/STD),Middle,No,Student,Never Married,M,0-14,0
308,A & N Islands,2002,Insanity/Mental Illness,No Education,No,Student,Never Married,M,0-14,0
309,A & N Islands,2002,Dowry Dispute,Primary,No,Unemployed,Never Married,M,0-14,0
310,A & N Islands,2002,Ideological Causes/Hero Worshipping,Matriculate/Secondary,No,Student,Never Married,M,0-14,0
311,A & N Islands,2002,Family Problems,Primary,By Hanging,Student,Never Married,M,0-14,1
312,A & N Islands,2002,Fall in Social Reputation,Middle,No,Others,Married,M,0-14,0
313,A & N Islands,2002,Family Problems,Middle,By Hanging,House Wife,Married,F,15-29,11
314,A & N Islands,2002,Fall in Social Reputation,Diploma,No,Service (Government),Never Married,F,15-29,0
315,A & N Islands,2002,Drug Abuse/Addiction,Post Graduate and Above,No,Student,Married,F,15-29,0
316,A & N Islands,2002,Suspected/Illicit Relation,Hr. Secondary/Intermediate/Pre-Universit,No,Student,Divorcee,F,15-29,0
317,A & N Islands,2002,Bankruptcy or Sudden change in Economic Status,Matriculate/Secondary,No,Service (Private),Seperated,F,15-29,0
318,A & N Islands,2002,Causes Not known,Middle,By Hanging,House Wife,Married,F,15-29,7
319,A & N Islands,2002,Death of Dear Person,Graduate,No,Service (Government),Married,F,15-29,0
320,A & N Islands,2002,Unemployment,Matriculate/Secondary,No,Unemployed,Never Married,F,15-29,0
321,A & N Islands,2002,Not having Children,Post Graduate and Above,No,Student,Married,F,15-29,0
322,A & N Islands,2002,Property Dispute,Diploma,No,Public Sector Undertaking,Divorcee,F,15-29,0
323,A & N Islands,2002,Physical Abuse (Rape/Incest Etc.),No Education,No,Professional Activity,Seperated,F,15-29,0
324,A & N Islands,2002,Cancellation/Non-Settlement of Marriage,Graduate,No,Student,Seperated,F,15-29,0
325,A & N Islands,2002,Illegitimate Pregnancy,Diploma,No,Farming/Agriculture Activity,Widowed,F,15-29,0
326,A & N Islands,2002,Cancer,Post Graduate and Above,No,Service (Private),Married,F,15-29,0
327,A & N Islands,2002,Divorce,Hr. Secondary/Intermediate/Pre-Universit,No,House Wife,Married,F,15-29,0
328,A & N Islands,2002,Other Causes,Matriculate/Secondary,By Consuming Other Poison,House Wife,Never Married,F,15-29,2
329,A & N Islands,2002,Poverty,Primary,No,Student,Married,F,15-29,0
330,A & N Islands,2002,Paralysis,Post Graduate and Above,No,Unemployed,Seperated,F,15-29,0
331,A & N Islands,2002,Professional/Career Problem,Graduate,No,Service (Government),Widowed,F,15-29,0
332,A & N Islands,2002,Other Prolonged Illness,Middle,By Hanging,House Wife,Never Married,F,15-29,2
333,A & N Islands,2002,Dowry Dispute,Matriculate/Secondary,No,Service (Private),Married,F,15-29,0
334,A & N Islands,2002,Failure in Examination,Hr. Secondary/Intermediate/Pre-Universit,By Consuming Other Poison,Student,Never Married,F,15-29,1
335,A & N Islands,2002,Illness (Aids/STD),Primary,No,Service (Government),Married,F,15-29,0
336,A & N Islands,2002,Love Affairs,Middle,By Consuming Other Poison,Student,Never Married,F,15-29,1
337,A & N Islands,2002,Ideological Causes/Hero Worshipping,Post Graduate and Above,No,Service (Private),Married,F,15-29,0
338,A & N Islands,2002,Insanity/Mental Illness,Middle,By Fire/Self Immolation,Student,Never Married,F,15-29,4
339,A & N Islands,2002,Suspected/Illicit Relation,Graduate,No,Service (Government),Widowed,M,15-29,0
340,A & N Islands,2002,Bankruptcy or Sudden change in Economic Status,Post Graduate and Above,No,Student,Married,M,15-29,0
341,A & N Islands,2002,Other Prolonged Illness,Matriculate/Secondary,By Hanging,Student,Never Married,M,15-29,3
342,A & N Islands,2002,Insanity/Mental Illness,Middle,By Hanging,Service (Government),Never Married,M,15-29,2
343,A & N Islands,2002,Paralysis,Hr. Secondary/Intermediate/Pre-Universit,No,Student,Seperated,M,15-29,0
344,A & N Islands,2002,Dowry Dispute,Graduate,No,Student,Never Married,M,15-29,0
345,A & N Islands,2002,Other Causes,Primary,By Consuming Other Poison,Service (Private),Married,M,15-29,4
346,A & N Islands,2002,Family Problems,Middle,By Hanging,Service (Private),Never Married,M,15-29,3
347,A & N Islands,2002,Love Affairs,Middle,By Hanging,Service (Private),Never Married,M,15-29,4
348,A & N Islands,2002,Cancellation/Non-Settlement of Marriage,Post Graduate and Above,No,Student,Seperated,M,15-29,0
349,A & N Islands,2002,Divorce,Matriculate/Secondary,No,Service (Government),Married,M,15-29,0
350,A & N Islands,2002,Drug Abuse/Addiction,Graduate,No,Service (Private),Married,M,15-29,0
351,A & N Islands,2002,Property Dispute,Diploma,No,Student,Divorcee,M,15-29,0
352,A & N Islands,2002,Causes Not known,Middle,By Hanging,Service (Private),Married,M,15-29,10
353,A & N Islands,2002,Unemployment,Matriculate/Secondary,By Hanging,Farming/Agriculture Activity,Never Married,M,15-29,1
354,A & N Islands,2002,Fall in Social Reputation,Post Graduate and Above,No,Public Sector Undertaking,Married,M,15-29,0
355,A & N Islands,2002,Physical Abuse (Rape/Incest Etc.),Graduate,No,Professional Activity,Never Married,M,15-29,0
356,A & N Islands,2002,Death of Dear Person,Primary,No,Farming/Agriculture Activity,Married,M,15-29,0
357,A & N Islands,2002,Failure in Examination,Hr. Secondary/Intermediate/Pre-Universit,No,Farming/Agriculture Activity,Seperated,M,15-29,0
358,A & N Islands,2002,Illness (Aids/STD),Post Graduate and Above,No,Service (Private),Widowed,M,15-29,0
359,A & N Islands,2002,Illegitimate Pregnancy,Graduate,No,Student,Married,M,15-29,0
360,A & N Islands,2002,Cancer,Matriculate/Secondary,No,Service (Government),Married,M,15-29,0
361,A & N Islands,2002,Not having Children,Hr. Secondary/Intermediate/Pre-Universit,No,Student,Seperated,M,15-29,0
362,A & N Islands,2002,Ideological Causes/Hero Worshipping,Graduate,No,Student,Divorcee,M,15-29,0
363,A & N Islands,2002,Professional/Career Problem,Post Graduate and Above,No,Service (Government),Married,M,15-29,0
364,A & N Islands,2002,Poverty,Diploma,No,Unemployed,Married,M,15-29,0
365,A & N Islands,2002,Illness (Aids/STD),Post Graduate and Above,No,Professional Activity,Never Married,F,30-44,0
366,A & N Islands,2002,Dowry Dispute,Matriculate/Secondary,No,Student,Married,F,30-44,0
367,A & N Islands,2002,Ideological Causes/Hero Worshipping,Diploma,No,Farming/Agriculture Activity,Divorcee,F,30-44,0
368,A & N Islands,2002,Other Prolonged Illness,Middle,By Hanging,House Wife,Married,F,30-44,5
369,A & N Islands,2002,Bankruptcy or Sudden change in Economic Status,Graduate,No,Service (Private),Widowed,F,30-44,0
370,A & N Islands,2002,Causes Not known,Middle,By Consuming Other Poison,House Wife,Married,F,30-44,2
371,A & N Islands,2002,Drug Abuse/Addiction,Post Graduate and Above,No,Unemployed,Married,F,30-44,0
372,A & N Islands,2002,Suspected/Illicit Relation,Graduate,No,Service (Government),Seperated,F,30-44,0
373,A & N Islands,2002,Failure in Examination,Diploma,No,Retired Person,Never Married,F,30-44,0
374,A & N Islands,2002,Poverty,Hr. Secondary/Intermediate/Pre-Universit,No,Public Sector Undertaking,Divorcee,F,30-44,0
375,A & N Islands,2002,Death of Dear Person,No Education,No,Others,Widowed,F,30-44,0
376,A & N Islands,2002,Divorce,Matriculate/Secondary,No,Self Employed,Divorcee,F,30-44,0
377,A & N Islands,2002,Professional/Career Problem,Post Graduate and Above,No,House Wife,Married,F,30-44,0
378,A & N Islands,2002,Family Problems,Middle,By Fire/Self Immolation,Service (Government),Never Married,F,30-44,1
379,A & N Islands,2002,Paralysis,Hr. Secondary/Intermediate/Pre-Universit,No,Unemployed,Seperated,F,30-44,0
380,A & N Islands,2002,Unemployment,Graduate,No,Service (Government),Married,F,30-44,0
381,A & N Islands,2002,Cancer,Diploma,No,Retired Person,Married,F,30-44,0
382,A & N Islands,2002,Cancellation/Non-Settlement of Marriage,Graduate,No,Others,Seperated,F,30-44,0
383,A & N Islands,2002,Physical Abuse (Rape/Incest Etc.),Post Graduate and Above,No,Self Employed,Seperated,F,30-44,0
384,A & N Islands,2002,Property Dispute,Post Graduate and Above,No,Service (Private),Married,F,30-44,0
385,A & N Islands,2002,Other Causes,Middle,By Hanging,House Wife,Never Married,F,30-44,3
386,A & N Islands,2002,Illegitimate Pregnancy,Graduate,No,House Wife,Widowed,F,30-44,0
387,A & N Islands,2002,Insanity/Mental Illness,Hr. Secondary/Intermediate/Pre-Universit,By Fire/Self Immolation,House Wife,Married,F,30-44,1
388,A & N Islands,2002,Love Affairs,Middle,By Consuming Other Poison,House Wife,Married,F,30-44,2
389,A & N Islands,2002,Fall in Social Reputation,Post Graduate and Above,No,Unemployed,Widowed,F,30-44,0
390,A & N Islands,2002,Not having Children,Hr. Secondary/Intermediate/Pre-Universit,No,Service (Government),Married,F,30-44,0
391,A & N Islands,2002,Cancellation/Non-Settlement of Marriage,Graduate,No,Retired Person,Seperated,M,30-44,0
392,A & N Islands,2002,Ideological Causes/Hero Worshipping,Matriculate/Secondary,No,Public Sector Undertaking,Never Married,M,30-44,0
393,A & N Islands,2002,Property Dispute,Diploma,No,House Wife,Seperated,M,30-44,0
394,A & N Islands,2002,Drug Abuse/Addiction,Post Graduate and Above,No,Service (Private),Married,M,30-44,0
395,A & N Islands,2002,Failure in Examination,Graduate,No,House Wife,Widowed,M,30-44,0
396,A & N Islands,2002,Family Problems,Middle,By Consuming Other Poison,Service (Private),Never Married,M,30-44,4
397,A & N Islands,2002,Love Affairs,Hr. Secondary/Intermediate/Pre-Universit,By Drowning,Farming/Agriculture Activity,Never Married,M,30-44,1
398,A & N Islands,2002,Cancer,Post Graduate and Above,No,Unemployed,Divorcee,M,30-44,0
399,A & N Islands,2002,Physical Abuse (Rape/Incest Etc.),Diploma,No,Service (Government),Married,M,30-44,0
400,A & N Islands,2002,Poverty,Primary,No,Retired Person,Married,M,30-44,0
401,A & N Islands,2002,Death of Dear Person,Post Graduate and Above,No,Public Sector Undertaking,Widowed,M,30-44,0
402,A & N Islands,2002,Divorce,Graduate,No,Service (Private),Divorcee,M,30-44,0
403,A & N Islands,2002,Illegitimate Pregnancy,Primary,No,Student,Never Married,M,30-44,0
404,A & N Islands,2002,Not having Children,Matriculate/Secondary,No,Farming/Agriculture Activity,Widowed,M,30-44,0
405,A & N Islands,2002,Causes Not known,Middle,By Hanging,Service (Government),Married,M,30-44,9
406,A & N Islands,2002,Illness (Aids/STD),Post Graduate and Above,No,Unemployed,Widowed,M,30-44,0
407,A & N Islands,2002,Suspected/Illicit Relation,Diploma,No,Service (Government),Married,M,30-44,0
408,A & N Islands,2002,Fall in Social Reputation,Primary,No,Retired Person,Divorcee,M,30-44,0
409,A & N Islands,2002,Paralysis,No Education,No,Public Sector Undertaking,Married,M,30-44,0
410,A & N Islands,2002,Other Causes,Graduate,By Hanging,Farming/Agriculture Activity,Never Married,M,30-44,2
411,A & N Islands,2002,Other Prolonged Illness,Matriculate/Secondary,By Hanging,Service (Private),Married,M,30-44,5
412,A & N Islands,2002,Unemployment,Hr. Secondary/Intermediate/Pre-Universit,No,Professional Activity,Seperated,M,30-44,0
413,A & N Islands,2002,Professional/Career Problem,Diploma,No,Student,Married,M,30-44,0
414,A & N Islands,2002,Bankruptcy or Sudden change in Economic Status,Post Graduate and Above,No,Farming/Agriculture Activity,Married,M,30-44,0
415,A & N Islands,2002,Insanity/Mental Illness,Primary,By Hanging,Service (Private),Married,M,30-44,7
416,A & N Islands,2002,Dowry Dispute,Graduate,No,Farming/Agriculture Activity,Divorcee,M,30-44,0
417,A & N Islands,2002,Property Dispute,Graduate,No,Farming/Agriculture Activity,Married,F,45-59,0
418,A & N Islands,2002,Not having Children,Post Graduate and Above,No,Student,Never Married,F,45-59,0
419,A & N Islands,2002,Physical Abuse (Rape/Incest Etc.),Diploma,No,Public Sector Undertaking,Seperated,F,45-59,0
420,A & N Islands,2002,Drug Abuse/Addiction,Hr. Secondary/Intermediate/Pre-Universit,No,Self Employed,Never Married,F,45-59,0
421,A & N Islands,2002,Failure in Examination,Graduate,No,Others,Married,F,45-59,0
422,A & N Islands,2002,Insanity/Mental Illness,Middle,By Hanging,House Wife,Married,F,45-59,1
423,A & N Islands,2002,Cancer,Post Graduate and Above,No,Farming/Agriculture Activity,Never Married,F,45-59,0
424,A & N Islands,2002,Dowry Dispute,Matriculate/Secondary,No,Student,Divorcee,F,45-59,0
425,A & N Islands,2002,Ideological Causes/Hero Worshipping,Diploma,No,Public Sector Undertaking,Married,F,45-59,0
426,A & N Islands,2002,Divorce,Graduate,No,Self Employed,Divorcee,F,45-59,0
427,A & N Islands,2002,Family Problems,Matriculate/Secondary,By Fire/Self Immolation,House Wife,Never Married,F,45-59,1
428,A & N Islands,2002,Causes Not known,Middle,By Hanging,House Wife,Married,F,45-59,1
429,A & N Islands,2002,Professional/Career Problem,Graduate,No,Service (Government),Married,F,45-59,0
430,A & N Islands,2002,Cancellation/Non-Settlement of Marriage,Matriculate/Secondary,No,Retired Person,Seperated,F,45-59,0
431,A & N Islands,2002,Paralysis,Post Graduate and Above,No,Unemployed,Widowed,F,45-59,0
432,A & N Islands,2002,Illegitimate Pregnancy,Hr. Secondary/Intermediate/Pre-Universit,No,Service (Private),Divorcee,F,45-59,0
433,A & N Islands,2002,Illness (Aids/STD),Graduate,No,Professional Activity,Widowed,F,45-59,0
434,A & N Islands,2002,Suspected/Illicit Relation,Diploma,No,Retired Person,Married,F,45-59,0
435,A & N Islands,2002,Other Prolonged Illness,Middle,By Consuming Other Poison,House Wife,Married,F,45-59,1
436,A & N Islands,2002,Fall in Social Reputation,Graduate,No,Others,Never Married,F,45-59,0
437,A & N Islands,2002,Death of Dear Person,Middle,By Hanging,House Wife,Married,F,45-59,1
438,A & N Islands,2002,Bankruptcy or Sudden change in Economic Status,Post Graduate and Above,No,Service (Government),Never Married,F,45-59,0
439,A & N Islands,2002,Love Affairs,Graduate,No,Professional Activity,Seperated,F,45-59,0
440,A & N Islands,2002,Other Causes,Hr. Secondary/Intermediate/Pre-Universit,By Hanging,House Wife,Married,F,45-59,1
441,A & N Islands,2002,Poverty,No Education,No,Farming/Agriculture Activity,Never Married,F,45-59,0
442,A & N Islands,2002,Unemployment,Matriculate/Secondary,No,Student,Married,F,45-59,0
443,A & N Islands,2002,Poverty,Hr. Secondary/Intermediate/Pre-Universit,No,Public Sector Undertaking,Married,M,45-59,0
444,A & N Islands,2002,Love Affairs,Post Graduate and Above,No,Self Employed,Divorcee,M,45-59,0
445,A & N Islands,2002,Suspected/Illicit Relation,Diploma,No,Others,Seperated,M,45-59,0
446,A & N Islands,2002,Causes Not known,Middle,By Hanging,Service (Private),Never Married,M,45-59,3
447,A & N Islands,2002,Paralysis,Graduate,No,Retired Person,Never Married,M,45-59,0
448,A & N Islands,2002,Dowry Dispute,Primary,No,Professional Activity,Seperated,M,45-59,0
449,A & N Islands,2002,Insanity/Mental Illness,Matriculate/Secondary,By Drowning or By Hanging,Service (Government),Never Married,M,45-59,2
450,A & N Islands,2002,Divorce,Post Graduate and Above,No,Farming/Agriculture Activity,Divorcee,M,45-59,0
451,A & N Islands,2002,Illegitimate Pregnancy,Graduate,No,Student,Never Married,M,45-59,0
452,A & N Islands,2002,Bankruptcy or Sudden change in Economic Status,Post Graduate and Above,No,Public Sector Undertaking,Married,M,45-59,0
453,A & N Islands,2002,Cancer,Diploma,No,Self Employed,Never Married,M,45-59,0
454,A & N Islands,2002,Other Causes,Middle,By Hanging,Service (Private),Married,M,45-59,7
455,A & N Islands,2002,Death of Dear Person,Hr. Secondary/Intermediate/Pre-Universit,No,Retired Person,Widowed,M,45-59,0
456,A & N Islands,2002,Family Problems,Middle,By Consuming Other Poison,Service (Private),Never Married,M,45-59,3
457,A & N Islands,2002,Failure in Examination,Post Graduate and Above,No,Service (Government),Married,M,45-59,0
458,A & N Islands,2002,Illness (Aids/STD),Graduate,No,Unemployed,Seperated,M,45-59,0
459,A & N Islands,2002,Cancellation/Non-Settlement of Marriage,Post Graduate and Above,No,Service (Government),Divorcee,M,45-59,0
460,A & N Islands,2002,Property Dispute,Matriculate/Secondary,No,Service (Private),Widowed,M,45-59,0
461,A & N Islands,2002,Professional/Career Problem,Graduate,No,Professional Activity,Never Married,M,45-59,0
462,A & N Islands,2002,Other Prolonged Illness,Middle,By Hanging,Service (Government),Married,M,45-59,6
463,A & N Islands,2002,Physical Abuse (Rape/Incest Etc.),Post Graduate and Above,No,Unemployed,Seperated,M,45-59,0
464,A & N Islands,2002,Fall in Social Reputation,Hr. Secondary/Intermediate/Pre-Universit,No,Others,Married,M,45-59,0
465,A & N Islands,2002,Unemployment,Diploma,No,Farming/Agriculture Activity,Never Married,M,45-59,0
466,A & N Islands,2002,Not having Children,Graduate,No,Student,Married,M,45-59,0
467,A & N Islands,2002,Drug Abuse/Addiction,Post Graduate and Above,No,Public Sector Undertaking,Divorcee,M,45-59,0
468,A & N Islands,2002,Ideological Causes/Hero Worshipping,Matriculate/Secondary,No,Self Employed,Never Married,M,45-59,0
469,A & N Islands,2002,Paralysis,Graduate,No,Unemployed,Widowed,F,60+,0
470,A & N Islands,2002,Suspected/Illicit Relation,Matriculate/Secondary,No,Self Employed,Divorcee,F,60+,0
471,A & N Islands,2002,Poverty,Post Graduate and Above,No,Service (Private),Seperated,F,60+,0
472,A & N Islands,2002,Bankruptcy or Sudden change in Economic Status,Diploma,No,Service (Government),Never Married,F,60+,0
473,A & N Islands,2002,Other Prolonged Illness,Middle,By Hanging,House Wife,Married,F,60+,1
474,A & N Islands,2002,Fall in Social Reputation,Hr. Secondary/Intermediate/Pre-Universit,No,House Wife,Married,F,60+,0
475,A & N Islands,2002,Illegitimate Pregnancy,No Education,No,Farming/Agriculture Activity,Seperated,F,60+,0
476,A & N Islands,2002,Not having Children,Graduate,No,Retired Person,Divorcee,F,60+,0
477,A & N Islands,2002,Other Causes,Post Graduate and Above,No,Others,Married,F,60+,0
478,A & N Islands,2002,Professional/Career Problem,Diploma,No,Professional Activity,Married,F,60+,0
479,A & N Islands,2002,Property Dispute,Hr. Secondary/Intermediate/Pre-Universit,No,Student,Never Married,F,60+,0
480,A & N Islands,2002,Death of Dear Person,Matriculate/Secondary,No,Retired Person,Widowed,F,60+,0
481,A & N Islands,2002,Illness (Aids/STD),Post Graduate and Above,No,Public Sector Undertaking,Married,F,60+,0
482,A & N Islands,2002,Drug Abuse/Addiction,Graduate,No,Others,Never Married,F,60+,0
483,A & N Islands,2002,Family Problems,Post Graduate and Above,No,Professional Activity,Married,F,60+,0
484,A & N Islands,2002,Insanity/Mental Illness,Matriculate/Secondary,By Consuming Other Poison,House Wife,Married,F,60+,1
485,A & N Islands,2002,Cancer,Post Graduate and Above,No,Unemployed,Never Married,F,60+,0
486,A & N Islands,2002,Cancellation/Non-Settlement of Marriage,Diploma,No,Self Employed,Seperated,F,60+,0
487,A & N Islands,2002,Love Affairs,Hr. Secondary/Intermediate/Pre-Universit,No,Service (Private),Divorcee,F,60+,0
488,A & N Islands,2002,Physical Abuse (Rape/Incest Etc.),Primary,No,Service (Government),Widowed,F,60+,0
489,A & N Islands,2002,Divorce,Graduate,No,Public Sector Undertaking,Divorcee,F,60+,0
490,A & N Islands,2002,Unemployment,Graduate,No,Student,Married,F,60+,0
491,A & N Islands,2002,Causes Not known,Middle,By Fire/Self Immolation,House Wife,Married,F,60+,1
492,A & N Islands,2002,Dowry Dispute,Matriculate/Secondary,No,Professional Activity,Seperated,F,60+,0
493,A & N Islands,2002,Ideological Causes/Hero Worshipping,Post Graduate and Above,No,Public Sector Undertaking,Never Married,F,60+,0
494,A & N Islands,2002,Failure in Examination,Diploma,No,Professional Activity,Married,F,60+,0
495,A & N Islands,2002,Bankruptcy or Sudden change in Economic Status,Hr. Secondary/Intermediate/Pre-Universit,No,Unemployed,Married,M,60+,0
496,A & N Islands,2002,Ideological Causes/Hero Worshipping,Post Graduate and Above,No,Self Employed,Never Married,M,60+,0
497,A & N Islands,2002,Not having Children,Graduate,No,Service (Private),Married,M,60+,0
498,A & N Islands,2002,Dowry Dispute,Post Graduate and Above,No,Service (Government),Seperated,M,60+,0
499,A & N Islands,2002,Love Affairs,Graduate,No,Student,Divorcee,M,60+,0
500,A & N Islands,2002,Insanity/Mental Illness,Primary,By Hanging,Service (Private),Never Married,M,60+,2
501,A & N Islands,2002,Other Prolonged Illness,Matriculate/Secondary,By Hanging,Retired Person,Married,M,60+,6
502,A & N Islands,2002,Unemployment,Hr. Secondary/Intermediate/Pre-Universit,No,House Wife,Married,M,60+,0
503,A & N Islands,2002,Cancellation/Non-Settlement of Marriage,Diploma,No,Farming/Agriculture Activity,Seperated,M,60+,0
504,A & N Islands,2002,Property Dispute,Post Graduate and Above,No,Retired Person,Never Married,M,60+,0
505,A & N Islands,2002,Fall in Social Reputation,Graduate,No,Others,Widowed,M,60+,0
506,A & N Islands,2002,Family Problems,Diploma,No,Professional Activity,Married,M,60+,0
507,A & N Islands,2002,Illness (Aids/STD),Hr. Secondary/Intermediate/Pre-Universit,No,Unemployed,Never Married,M,60+,0
508,A & N Islands,2002,Paralysis,Graduate,No,Self Employed,Never Married,M,60+,0
509,A & N Islands,2002,Poverty,Post Graduate and Above,No,Public Sector Undertaking,Widowed,M,60+,0
510,A & N Islands,2002,Failure in Examination,Matriculate/Secondary,No,Service (Government),Married,M,60+,0
511,A & N Islands,2002,Other Causes,Middle,By Hanging,Service (Private),Never Married,M,60+,2
512,A & N Islands,2002,Cancer,Graduate,No,Student,Married,M,60+,0
513,A & N Islands,2002,Death of Dear Person,Post Graduate and Above,By Fire/Self Immolation,Service (Private),Never Married,M,60+,1
514,A & N Islands,2002,Divorce,Hr. Secondary/Intermediate/Pre-Universit,No,House Wife,Divorcee,M,60+,0
515,A & N Islands,2002,Drug Abuse/Addiction,No Education,No,Farming/Agriculture Activity,Widowed,M,60+,0
516,A & N Islands,2002,Physical Abuse (Rape/Incest Etc.),Diploma,No,Retired Person,Never Married,M,60+,0
517,A & N Islands,2002,Illegitimate Pregnancy,Graduate,No,Others,Seperated,M,60+,0
518,A & N Islands,2002,Causes Not known,Middle,By Hanging,Service (Private),Never Married,M,60+,2
519,A & N Islands,2002,Suspected/Illicit Relation,Matriculate/Secondary,No,Public Sector Undertaking,Divorcee,M,60+,0
520,A & N Islands,2002,Professional/Career Problem,Post Graduate and Above,No,Professional Activity,Married,M,60+,0
521,A & N Islands,2003,Property Dispute,Secondary,No,Unemployed,Married,F,0-14,0
522,A & N Islands,2003,Drug Abuse/Addiction,No Education,No,Unemployed,Never Married,F,0-14,0
523,A & N Islands,2003,Family Problems,Primary,By Hanging,Student,Never Married,F,0-14,1
524,A & N Islands,2003,Unemployment,No Education,No,Unemployed,Never Married,F,0-14,0
525,A & N Islands,2003,Cancer,Primary,No,Student,Never Married,F,0-14,0
526,A & N Islands,2003,Cancellation/Non-Settlement of Marriage,No Education,No,Farming/Agriculture Activity,Married,F,0-14,0
527,A & N Islands,2003,Physical Abuse (Rape/Incest Etc.),Middle,No,Student,Never Married,F,0-14,0
528,A & N Islands,2003,Fall in Social Reputation,No Education,No,Unemployed,Never Married,F,0-14,0
529,A & N Islands,2003,Divorce,Primary,No,Student,Never Married,F,0-14,0
530,A & N Islands,2003,Bankruptcy or Sudden change in Economic Status,No Education,No,Unemployed,Never Married,F,0-14,0
531,A & N Islands,2003,Illegitimate Pregnancy,No Education,No,Student,Never Married,F,0-14,0
532,A & N Islands,2003,Causes Not known,No Education,No,Unemployed,Never Married,F,0-14,0
533,A & N Islands,2003,Insanity/Mental Illness,No Education,By Jumping off Moving Vehicles/Trains,Unemployed,Never Married,F,0-14,1
534,A & N Islands,2003,Professional/Career Problem,Middle,No,Student,Never Married,F,0-14,0
535,A & N Islands,2003,Illness (Aids/STD),No Education,No,Unemployed,Never Married,F,0-14,0
536,A & N Islands,2003,Not having Children,No Education,No,Unemployed,Never Married,F,0-14,0
537,A & N Islands,2003,Death of Dear Person,Primary,No,Student,Never Married,F,0-14,0
538,A & N Islands,2003,Suspected/Illicit Relation,No Education,By Consuming Insecticides,House Wife,Married,F,0-14,1
539,A & N Islands,2003,Other Prolonged Illness,No Education,No,Farming/Agriculture Activity,Never Married,F,0-14,0
540,A & N Islands,2003,Failure in Examination,No Education,No,Unemployed,Never Married,F,0-14,0
541,A & N Islands,2003,Love Affairs,Primary,No,Student,Married,F,0-14,0
542,A & N Islands,2003,Other Causes,Middle,No,Student,Never Married,F,0-14,0
543,A & N Islands,2003,Poverty,No Education,By Fire/Self Immolation,Unemployed,Married,F,0-14,1
544,A & N Islands,2003,Paralysis,Primary,No,Student,Never Married,F,0-14,0
545,A & N Islands,2003,Dowry Dispute,No Education,No,Unemployed,Married,F,0-14,0
546,A & N Islands,2003,Ideological Causes/Hero Worshipping,No Education,No,Farming/Agriculture Activity,Never Married,F,0-14,0
547,A & N Islands,2003,Fall in Social Reputation,No Education,No,Unemployed,Never Married,F,0-14,0
548,A & N Islands,2003,Causes Not known,No Education,By Overdose of sleeping pills,House Wife,Never Married,M,0-14,1
549,A & N Islands,2003,Death of Dear Person,No Education,No,Farming/Agriculture Activity,Never Married,M,0-14,0
550,A & N Islands,2003,Insanity/Mental Illness,No Education,No,Student,Never Married,M,0-14,0
551,A & N Islands,2003,Suspected/Illicit Relation,No Education,No,Unemployed,Never Married,M,0-14,0
